기준년도,시군명,읍면동명,등록동물수(마리),시군구등록수,대행업체등록수,기타등록수,RFID내장치형수,RFID외부장치형수,RFID인지형수,동물품종수,동물소유자수,소유자등록동물수값,등록대행업체수,데이터기준일자
2025,가평군,가평읍,1946,32,1911,,1299,583,64,78,1265,1.54,1,2025-05-09
2025,가평군,북면,527,17,510,,351,143,33,54,310,1.7,,2025-05-09
2025,가평군,상면,955,11,944,,634,272,49,60,559,1.71,1,2025-05-09
2025,가평군,설악면,1825,44,1780,,904,847,74,85,1029,1.77,,2025-05-09
2025,가평군,조종면,861,19,842,,587,250,24,60,523,1.65,,2025-05-09
2025,가평군,청평면,1615,19,1594,,1063,456,96,76,1019,1.58,1,2025-05-09
2025,가평군,하면,113,1,111,,42,49,22,27,72,1.57,,2025-05-09
2025,가평군,합계,7842,143,7692,,4880,2600,362,124,4777,1.64,1,2025-05-09
2025,광명시,가학동,106,9,97,0,58,36,12,21,70,1.51,0,2025-05-27
2025,광명시,광명동,6024,459,5564,1,3220,2203,601,95,4712,1.28,2,2025-05-27
2025,광명시,노온사동,112,10,102,0,67,29,16,22,71,1.58,0,2025-05-27
2025,광명시,소하동,4583,228,4355,0,2727,1555,301,90,3620,1.27,4,2025-05-27
2025,광명시,옥길동,38,0,38,0,20,16,2,11,30,1.27,0,2025-05-27
2025,광명시,일직동,1183,26,1157,0,612,502,69,58,906,1.31,2,2025-05-27
2025,광명시,철산동,4662,255,4406,1,2644,1543,475,82,3765,1.24,6,2025-05-27
2025,광명시,하안동,4939,238,4700,1,2801,1811,327,90,3915,1.26,3,2025-05-27
2025,광명시,합계,21647,1225,20419,3,12149,7695,1803,129,17089,1.27,17,2025-05-27
2025,구리시,,766,31,735,0,359,407,0,53,688,1.11,,2025-11-03
2025,군포시,금정동,4049,505,3542,2,2441,1251,357,83,3018,1.34,3,2025-05-16
2025,군포시,당동,3993,544,3448,1,2323,1215,455,88,3051,1.31,3,2025-05-16
2025,군포시,당정동,1013,156,857,0,565,344,104,57,755,1.34,,2025-05-16
2025,군포시,대야미동,607,86,519,2,331,218,58,47,468,1.3,,2025-05-16
2025,군포시,도마교동,634,47,587,0,316,270,48,48,485,1.31,,2025-05-16
2025,군포시,둔대동,31,4,27,0,17,11,3,10,16,1.94,,2025-05-16
2025,군포시,부곡동,1009,167,842,0,494,405,110,59,792,1.27,,2025-05-16
2025,군포시,산본동,7697,965,6724,8,4376,2656,665,101,5985,1.29,8,2025-05-16
2025,군포시,속달동,38,11,27,0,16,16,6,13,26,1.46,,2025-05-16
2025,남양주시,금곡동,1723,89,1634,0,1036,540,147,68,1272,1.35,2,2025-04-25
2025,남양주시,다산1동,7474,231,7239,0,3612,3188,674,90,5519,1.35,15,2025-04-25
2025,남양주시,다산2동,1416,13,1402,0,741,315,360,126,1147,5.06,3,2025-04-25
2025,남양주시,별내동,6589,233,6356,0,3296,2889,404,85,4831,1.36,11,2025-04-25
2025,남양주시,별내면,1499,35,1463,0,821,475,203,65,1001,1.5,2,2025-04-25
2025,남양주시,수동면,1326,112,1210,0,837,301,188,84,682,1.94,0,2025-04-25
2025,남양주시,양정동,427,14,412,0,226,142,59,92,236,5.42,1,2025-04-25
2025,남양주시,오남읍,5562,195,5365,0,3739,1545,278,82,4016,1.38,2,2025-04-25
2025,남양주시,와부읍,5257,330,4925,0,3355,1463,439,86,3760,1.4,5,2025-04-25
2025,남양주시,조안면,447,50,396,0,298,100,49,60,270,1.66,1,2025-04-25
2025,남양주시,진건읍,2029,160,1865,0,1298,516,215,75,1438,1.41,3,2025-04-25
2025,남양주시,진접읍,8269,278,7983,0,4764,2898,607,93,5857,1.41,9,2025-04-25
2025,남양주시,퇴계원읍,1988,83,1905,0,1345,549,94,107,1488,2.69,1,2025-04-25
2025,남양주시,평내동,3455,84,3370,0,2096,1148,211,76,2597,1.33,3,2025-04-25
2025,남양주시,호평동,4765,149,4615,0,2787,1528,450,88,3426,1.39,5,2025-04-25
2025,남양주시,화도읍,12177,569,11603,0,7402,3420,1355,114,7594,1.6,8,2025-04-25
2025,동두천시,걸산동,14,0,14,0,8,6,0,9,5,2.8,14,2025-05-27
2025,동두천시,광암동,155,3,152,0,74,76,5,27,88,1.76,155,2025-05-27
2025,동두천시,동두천동,567,4,563,0,286,260,21,60,353,1.61,567,2025-05-27
2025,동두천시,보산동,348,4,344,0,214,123,11,40,204,1.71,348,2025-05-27
2025,동두천시,상봉암동,259,3,256,0,126,117,16,33,149,1.74,259,2025-05-27
2025,동두천시,상패동,570,12,558,0,254,292,24,52,335,1.7,570,2025-05-27
2025,동두천시,생연동,3567,35,3531,1,1874,1543,150,86,2340,1.52,3567,2025-05-27
2025,동두천시,송내동,1031,19,1012,0,484,486,61,57,727,1.42,1031,2025-05-27
2025,동두천시,안흥동,107,0,107,0,54,53,0,22,38,2.82,107,2025-05-27
2025,동두천시,지행동,2305,26,2276,3,1082,1103,120,79,1700,1.36,2305,2025-05-27
2025,동두천시,탑동동,114,3,111,0,65,41,8,26,63,1.81,114,2025-05-27
2025,동두천시,하봉암동,99,4,95,0,55,41,3,25,47,2.11,99,2025-05-27
2025,동두천시,합계,9136,113,9019,4,4576,4141,419,119,6049,1.51,9136,2025-05-27
2025,시흥시,거모동,2284,141,2142,1,1368,775,141,69,1663,1.37,0,2025-05-26
2025,시흥시,계수동,218,29,189,0,186,19,13,36,74,2.95,0,2025-05-26
2025,시흥시,과림동,172,34,138,0,62,63,47,28,83,2.07,0,2025-05-26
2025,시흥시,광석동,82,8,74,0,47,30,5,20,55,1.49,0,2025-05-26
2025,시흥시,군자동,257,29,228,0,132,97,28,44,167,1.54,0,2025-05-26
2025,시흥시,금이동,47,8,39,0,29,12,6,16,25,1.88,0,2025-05-26
2025,시흥시,논곡동,382,19,363,0,209,156,17,38,279,1.37,0,2025-05-26
2025,시흥시,능곡동,1708,140,1568,0,995,563,150,63,1277,1.34,3,2025-05-26
2025,시흥시,대야동,3718,134,3584,0,2392,1110,216,90,2651,1.4,5,2025-05-26
2025,시흥시,도창동,262,14,248,0,161,80,21,29,192,1.36,0,2025-05-26
2025,시흥시,매화동,950,54,896,0,523,343,84,55,602,1.58,0,2025-05-26
2025,시흥시,목감동,329,15,314,0,172,136,21,43,253,1.3,0,2025-05-26
2025,시흥시,무지내동,69,26,43,0,27,16,26,14,32,2.16,0,2025-05-26
2025,시흥시,물왕동,23,2,21,0,16,7,0,13,17,1.35,0,2025-05-26
2025,시흥시,미산동,469,19,450,0,317,128,24,48,303,1.55,0,2025-05-26
2025,시흥시,방산동,107,8,99,0,58,42,7,24,46,2.33,0,2025-05-26
2025,시흥시,배곧동,3848,85,3761,2,1620,2138,90,76,2672,1.44,3,2025-05-26
2025,시흥시,산현동,631,32,597,2,316,256,59,51,450,1.4,0,2025-05-26
2025,시흥시,신천동,4084,160,3922,2,2632,1197,255,87,2957,1.38,5,2025-05-26
2025,시흥시,안현동,77,19,58,0,42,8,27,17,30,2.57,0,2025-05-26
2025,시흥시,월곶동,1812,116,1696,0,1036,615,161,70,1246,1.45,1,2025-05-26
2025,시흥시,은행동,4403,159,4244,0,2510,1529,364,82,3331,1.32,5,2025-05-26
2025,시흥시,장곡동,1932,149,1783,0,998,778,156,71,1434,1.35,2,2025-05-26
2025,시흥시,장현동,1223,91,1132,0,627,510,86,60,877,1.39,1,2025-05-26
2025,시흥시,정왕동,14950,732,14213,5,9464,4576,910,112,11019,1.36,14,2025-05-26
2025,시흥시,조남동,1830,97,1733,0,959,714,157,76,1361,1.34,3,2025-05-26
2025,시흥시,죽율동,493,46,447,0,273,178,42,42,340,1.45,0,2025-05-26
2025,시흥시,포동,509,37,472,0,289,169,51,40,375,1.36,0,2025-05-26
2025,시흥시,하상동,662,72,590,0,412,188,62,47,501,1.32,0,2025-05-26
2025,시흥시,하중동,748,74,672,2,418,253,77,45,547,1.37,0,2025-05-26
2025,시흥시,화정동,6,1,5,0,5,1,0,5,5,1.2,0,2025-05-26
